# Zero vibration energy:      0.0065301495  (Ry/cell)
# Phonon DOS norm      :      5.995585      ! 3N for check purpose, N number of atoms in the unit cell
# T in K, F_vib in Ry/cell, C_v in R (the universal gas constant by 3N modes), S in k_B 
#
#   T         E_internal        F_vibration          Specific heat (C_v)       Entropy
############################################################################################################
    5.00      0.0065301619      0.0065301455           0.0016154983          0.0005175786
   10.00      0.0065303900      0.0065300774           0.0175032090          0.0049360888
   15.00      0.0065318607      0.0065296933           0.0887749276          0.0228153143
   20.00      0.0065368995      0.0065283447           0.2417874088          0.0675381560
   25.00      0.0065477401      0.0065250874           0.4483446484          0.1430697722
   30.00      0.0065654605      0.0065190098           0.6712227416          0.2444777060
   35.00      0.0065901858      0.0065094087           0.8883852828          0.3644082200
   40.00      0.0066215685      0.0064958035           1.0909573447          0.4964411665
   45.00      0.0066591057      0.0064778902           1.2771460428          0.6358444444
   50.00      0.0067022961      0.0064554901           1.4483829699          0.7793881319
   55.00      0.0067507070      0.0064285077           1.6073456475          0.9249746435
   60.00      0.0068039958      0.0063969007           1.7569357808          1.0713035962
   65.00      0.0068619081      0.0063606589           1.8997450782          1.2176103703
   70.00      0.0069242630      0.0063197902           2.0378117034          1.3634735708
   75.00      0.0069909346      0.0062743126           2.1725626468          1.5086790619
   80.00      0.0070618329      0.0062242486           2.3048666646          1.6531281289
   85.00      0.0071368881      0.0061696230           2.4351407680          1.7967785956
   90.00      0.0072160379      0.0061104614           2.5634711641          1.9396094487
   95.00      0.0072992193      0.0060467900           2.6897255897          2.0816014312
  100.00      0.0073863625      0.0059786359           2.8136461489          2.2227279185
  105.00      0.0074773888      0.0059060269           2.9349197003          2.3629520165
  110.00      0.0075722092      0.0058289924           3.0532272738          2.5022271176
  115.00      0.0076707253      0.0057475632           3.1682759918          2.6404991315
  120.00      0.0077728295      0.0056617721           3.2798174810          2.7777093013
  125.00      0.0078784078      0.0055716536           3.3876564879          2.9137969858
  130.00      0.0079873404      0.0054772442           3.4916527996          3.0487020950
  135.00      0.0080995041      0.0053785824           3.5917188877          3.1823670517
  140.00      0.0082147738      0.0052757081           3.6878150577          3.3147382598
  145.00      0.0083330237      0.0051686633           3.7799433576          3.4457671208
  150.00      0.0084541285      0.0050574910           3.8681410905          3.5754106627
  155.00      0.0085779649      0.0049422358           3.9524744637          3.7036318533
  160.00      0.0087044119      0.0048229432           4.0330326909          3.8303996692
  165.00      0.0088333514      0.0046996596           4.1099227112          3.9556889816
  170.00      0.0089646693      0.0045724322           4.1832645874          4.0794803117
  175.00      0.0090982552      0.0044413087           4.2531875842          4.2017594971
  180.00      0.0092340030      0.0043063371           4.3198268859          4.3225173051
  185.00      0.0093718108      0.0041675656           4.3833208968          4.4417490161
  190.00      0.0095115814      0.0040250426           4.4438090563          4.5594539978
  195.00      0.0096532216      0.0038788165           4.5014300985          4.6756352842
  200.00      0.0097966429      0.0037289353           4.5563206926          4.7902991684
  205.00      0.0099417609      0.0035754470           4.6086144018          4.9034548158
  210.00      0.0100884955      0.0034183992           4.6584409075          5.0151139034
  215.00      0.0102367706      0.0032578390           4.7059254513          5.1252902841
  220.00      0.0103865138      0.0030938132           4.7511884553          5.2339996805
  225.00      0.0105376567      0.0029263680           4.7943452836          5.3412594055
  230.00      0.0106901344      0.0027555488           4.8355061193          5.4470881093
  235.00      0.0108438852      0.0025814009           4.8747759300          5.5515055530
  240.00      0.0109988510      0.0024039684           4.9122545034          5.6545324049
  245.00      0.0111549766      0.0022232952           4.9480365367          5.7561900601
  250.00      0.0113122095      0.0020394242           4.9822117645          5.8565004799
  255.00      0.0114705003      0.0018523978           5.0148651173          5.9554860504
  260.00      0.0116298021      0.0016622575           5.0460768994          6.0531694577
  265.00      0.0117900705      0.0014690442           5.0759229803          6.1495735787
  270.00      0.0119512634      0.0012727981           5.1044749941          6.2447213858
  275.00      0.0121133408      0.0010735585           5.1318005422          6.3386358644
  280.00      0.0122762649      0.0008713642           5.1579633966          6.4313399403
  285.00      0.0124399999      0.0006662532           5.1830237001          6.5228564188
  290.00      0.0126045118      0.0004582626           5.2070381628          6.6132079310
  295.00      0.0127697682      0.0002474290           5.2300602527          6.7024168891
  300.00      0.0129357387      0.0000337883           5.2521403791          6.7905054477
  305.00      0.0131023941     -0.0001826244           5.2733260690          6.8774954724
  310.00      0.0132697068     -0.0004017747           5.2936621354          6.9634085125
  315.00      0.0134376506     -0.0006236288           5.3131908379          7.0482657793
  320.00      0.0136062005     -0.0008481536           5.3319520344          7.1320881286
  325.00      0.0137753329     -0.0010753166           5.3499833254          7.2148960463
  330.00      0.0139450252     -0.0013050861           5.3673201899          7.2967096376
  335.00      0.0141152560     -0.0015374309           5.3839961138          7.3775486195
  340.00      0.0142860047     -0.0017723204           5.4000427108          7.4574323143
  345.00      0.0144572521     -0.0020097247           5.4154898358          7.5363796468
  350.00      0.0146289794     -0.0022496144           5.4303656921          7.6144091427
  355.00      0.0148011692     -0.0024919608           5.4446969313          7.6915389279
  360.00      0.0149738045     -0.0027367355           5.4585087475          7.7677867304
  365.00      0.0151468693     -0.0029839111           5.4718249653          7.8431698827
  370.00      0.0153203482     -0.0032334603           5.4846681229          7.9177053250
  375.00      0.0154942265     -0.0034853566           5.4970595491          7.9914096096
  380.00      0.0156684904     -0.0037395739           5.5090194360          8.0642989062
  385.00      0.0158431265     -0.0039960867           5.5205669069          8.1363890071
  390.00      0.0160181219     -0.0042548699           5.5317200799          8.2076953336
  395.00      0.0161934645     -0.0045158989           5.5424961275          8.2782329423
  400.00      0.0163691426     -0.0047791496           5.5529113323          8.3480165320
  405.00      0.0165451450     -0.0050445984           5.5629811393          8.4170604506
  410.00      0.0167214610     -0.0053122220           5.5727202047          8.4853787026
  415.00      0.0168980803     -0.0055819978           5.5821424416          8.5529849564
  420.00      0.0170749932     -0.0058539033           5.5912610633          8.6198925515
  425.00      0.0172521902     -0.0061279166           5.6000886228          8.6861145065
  430.00      0.0174296622     -0.0064040163           5.6086370512          8.7516635261
  435.00      0.0176074007     -0.0066821813           5.6169176925          8.8165520089
  440.00      0.0177853974     -0.0069623907           5.6249413370          8.8807920550
  445.00      0.0179636441     -0.0072446243           5.6327182519          8.9443954732
  450.00      0.0181421334     -0.0075288620           5.6402582109          9.0073737883
  455.00      0.0183208578     -0.0078150844           5.6475705212          9.0697382486
  460.00      0.0184998103     -0.0081032720           5.6546640493          9.1314998327
  465.00      0.0186789840     -0.0083934060           5.6615472450          9.1926692569
  470.00      0.0188583725     -0.0086854678           5.6682281639          9.2532569818
  475.00      0.0190379695     -0.0089794391           5.6747144888          9.3132732193
  480.00      0.0192177689     -0.0092753020           5.6810135496          9.3727279388
  485.00      0.0193977648     -0.0095730389           5.6871323419          9.4316308742
  490.00      0.0195779518     -0.0098726325           5.6930775451          9.4899915300
  495.00      0.0197583244     -0.0101740656           5.6988555385          9.5478191874
  500.00      0.0199388773     -0.0104773217           5.7044724171          9.6051229104
