# Zero vibration energy:      0.0032230521  (Ry/cell)
# Phonon DOS norm      :      5.895682      ! 3N for check purpose, N number of atoms in the unit cell
# T in K, F_vib in Ry/cell, C_v in R (the universal gas constant by 3N modes), S in k_B 
#
#   T         E_internal        F_vibration          Specific heat (C_v)       Entropy
############################################################################################################
    5.00      0.0032231023      0.0032230370           0.0072804173          0.0020631870
   10.00      0.0032247358      0.0032226410           0.1345087685          0.0330752010
   15.00      0.0032339051      0.0032200420           0.4658875150          0.1459279174
   20.00      0.0032546677      0.0032126213           0.8427898076          0.3319451437
   25.00      0.0032869279      0.0031986038           1.1886589048          0.5578370436
   30.00      0.0033296425      0.0031770935           1.5056731197          0.8028902586
   35.00      0.0033821428      0.0031476512           1.8086816974          1.0578575721
   40.00      0.0034441224      0.0031100336           2.1048169045          1.3187725586
   45.00      0.0035153727      0.0030640894           2.3937412862          1.5834514791
   50.00      0.0035956116      0.0030097270           2.6718305918          1.8501631668
   55.00      0.0036844325      0.0029469080           2.9351816040          2.1172967512
   60.00      0.0037813202      0.0028756430           3.1809507223          2.3833628592
   65.00      0.0038856908      0.0027959870           3.4076406300          2.6470557739
   70.00      0.0039969320      0.0027080328           3.6149138419          2.9072936679
   75.00      0.0041144353      0.0026119040           3.8032699654          3.1632260676
   80.00      0.0042376167      0.0025077475           3.9737388703          3.4142180621
   85.00      0.0043659303      0.0023957273           4.1276402590          3.6598225617
   90.00      0.0044988740      0.0022760189           4.2664141359          3.8997487737
   95.00      0.0046359919      0.0021488051           4.3915101322          4.1338316786
  100.00      0.0047768731      0.0020142722           4.5043204279          4.3620048319
  105.00      0.0049211494      0.0018726073           4.6061428288          4.5842773105
  110.00      0.0050684919      0.0017239965           4.6981636735          4.8007147990
  115.00      0.0052186074      0.0015686228           4.7814531958          5.0114244207
  120.00      0.0053712350      0.0014066655           4.8569683142          5.2165427729
  125.00      0.0055261421      0.0012382994           4.9255595384          5.4162266129
  130.00      0.0056831217      0.0010636937           4.9879798781          5.6106456870
  135.00      0.0058419892      0.0008830125           5.0448944482          5.7999772666
  140.00      0.0060025796      0.0006964139           5.0968899940          5.9844020278
  145.00      0.0061647455      0.0005040505           5.1444839049          6.1641009814
  150.00      0.0063283550      0.0003060691           5.1881324976          6.3392532169
  155.00      0.0064932896      0.0001026109           5.2282384854          6.5100342753
  160.00      0.0066594429     -0.0001061884           5.2651576264          6.6766150048
  165.00      0.0068267190     -0.0003201985           5.2992045899          6.8391607845
  170.00      0.0069950316     -0.0005392940           5.3306581011          6.9978310291
  175.00      0.0071643024     -0.0007633548           5.3597654344          7.1527789050
  180.00      0.0073344607     -0.0009922653           5.3867463287          7.3041512038
  185.00      0.0075054423     -0.0012259144           5.4117963915          7.4520883346
  190.00      0.0076771890     -0.0014641956           5.4350900589          7.5967244011
  195.00      0.0078496475     -0.0017070064           5.4567831663          7.7381873415
  200.00      0.0080227696     -0.0019542483           5.4770151838          7.8765991099
  205.00      0.0081965108     -0.0022058263           5.4959111599          8.0120758886
  210.00      0.0083708308     -0.0024616495           5.5135834137          8.1447283171
